property_id,address,suburb,postcode,latitude,longitude,ground_elevation_m_ahd,building_footprint,building_area_m2,dwelling_structure_census,bedroom_count,vehicle_count,ev_count,affluence_score,construction_type,floor_height_offset_m,switchboard_type,circuit_count,kitchen_spec,flooring,building_age_years,flood_planning_level_m_ahd,peak_water_level_m_ahd,peak_depth_above_floor_m,depth_above_floor_m,wetted_wall_area_m2,severity_factor,switchboard_cost_aud,plasterboard_cost_aud,flooring_cost_aud,kitchen_cabinetry_cost_aud,electrical_cost_aud,appliance_cost_aud,drying_decon_cost_aud,painting_cost_aud,demolition_cost_aud,initial_estimated_cost_aud,insurance_delay_days,job_start_day,job_duration_days,job_end_day,scope_multiplier,stockout_day_relevant,labour_actual_aud,materials_actual_aud,actual_repair_cost_aud
GNAF-GANSW712266227,UNIT 2 2 PARKWALK DRIVE,GOONELLABAH,2480,-28.81464268,153.30783364,98.9209976196289,,93.9,separate_house,4,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,16,stone_benchtop,tile,13,13.4,14.4,0.0,0.0,11.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712303141,15 IRONBARK COURT,GOONELLABAH,2480,-28.82491445,153.3151006,144.17999267578125,,66.3,semi_detached,2,1,0,0.9328621908127208,high_stumps,1.5,circuit_breaker_basic,13,premium_stone_island,laminate,31,13.4,14.4,0.0,0.0,9.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW709235570,26 KARISSA DRIVE,GOONELLABAH,2480,-28.81107136,153.3496694,161.78700256347656,,128.6,separate_house,4,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,18,stone_benchtop,tile,13,13.4,14.4,0.0,0.0,13.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266226,1 PARKWALK DRIVE,GOONELLABAH,2480,-28.81340601,153.30719427,113.53399658203125,,112.8,flat_or_apartment,3,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,22,stone_benchtop,laminate,11,13.4,14.4,0.0,0.0,12.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW709226802,11 HILLTOP CLOSE,GOONELLABAH,2480,-28.81326811,153.33771125,147.5540008544922,,107.7,separate_house,3,1,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,139,13.4,14.4,0.0,0.0,12.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW716390939,UNIT 2 9 COLLEEN PLACE,EAST LISMORE,2480,-28.82760955,153.29383305,11.204000473022461,,104.0,separate_house,4,1,0,0.38869257950530034,short_stumps,0.5,circuit_breaker_rcd,11,stone_benchtop,tile,50,13.4,14.4,2.696,2.696,97.9,2.0,2318.03,7646.82,11301.23,9081.72,2114.66,8452.22,4424.23,2918.04,4014.02,52270.98,3.64,178,18,196,1.4,True,26779.87,46339.66,73119.53
GNAF-GANSW705236989,27 OAKESHOTT STREET,LISMORE HEIGHTS,2480,-28.80210897,153.29485039,84.88400268554688,,156.7,separate_house,5,2,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,15,standard_laminate,timber_floorboards,2,13.4,14.4,0.0,0.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705222713,5A LEONE COURT,LISMORE HEIGHTS,2480,-28.80761456,153.30610936,88.94000244140625,,89.7,separate_house,3,1,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,12,standard_laminate,timber_floorboards,22,13.4,14.4,0.0,0.0,11.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705220418,143 HIGH STREET,LISMORE HEIGHTS,2480,-28.8033196,153.29697005,104.28700256347656,,99.4,semi_detached,3,3,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,21,stone_benchtop,laminate,9,13.4,14.4,0.0,0.0,11.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712293773,58 BRUXNER CRESCENT,GOONELLABAH,2480,-28.81307176,153.31322625,141.7429962158203,,90.2,separate_house,3,1,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,10,stone_benchtop,tile,32,13.4,14.4,0.0,0.0,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266107,17 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,91.4,separate_house,4,1,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,16,stone_benchtop,tile,14,13.4,14.4,0.0,0.0,11.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266109,19 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,112.4,separate_house,4,3,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,11,standard_laminate,timber_floorboards,61,13.4,14.4,0.0,0.0,12.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266110,20 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,127.3,separate_house,5,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,15,stone_benchtop,tile,1,13.4,14.4,0.0,0.0,13.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266111,21 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,54.5,flat_or_apartment,2,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,14,stone_benchtop,laminate,24,13.4,14.4,0.0,0.0,8.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW713133407,23 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,116.6,separate_house,4,0,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,16,stone_benchtop,tile,14,13.4,14.4,0.0,0.0,12.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300142,25 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,104.2,separate_house,3,3,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,14,stone_benchtop,timber_floorboards,25,13.4,14.4,0.0,0.0,12.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300143,26 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,94.8,separate_house,3,1,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,159,13.4,14.4,0.0,0.0,11.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300145,28 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,145.6,separate_house,5,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,15,stone_benchtop,tile,1,13.4,14.4,0.0,0.0,14.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705226237,3 BARR SCOTT DRIVE,LISMORE HEIGHTS,2480,-28.8087337,153.30356838,119.5199966430664,,52.6,semi_detached,3,1,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,14,stone_benchtop,tile,19,13.4,14.4,0.0,0.0,8.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW718541099,UNIT 2 435 BALLINA ROAD,LISMORE,2480,-28.81156329,153.30577453,129.01300048828125,,93.7,separate_house,3,0,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,9,basic_laminate,carpet,74,13.4,14.4,0.0,0.0,11.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300157,40 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,91.4,separate_house,4,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,17,stone_benchtop,laminate,3,13.4,14.4,0.0,0.0,11.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300158,41 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,94.1,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,11,stone_benchtop,tile,33,13.4,14.4,0.0,0.0,11.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300160,43 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,97.3,separate_house,3,1,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,7,basic_laminate,carpet,112,13.4,14.4,0.0,0.0,11.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712300161,44 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,90.2,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,9,standard_laminate,timber_floorboards,60,13.4,14.4,0.0,0.0,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712303361,49 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,110.4,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,13,stone_benchtop,tile,24,13.4,14.4,0.0,0.0,12.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712303363,51 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,84.0,semi_detached,3,0,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,23,premium_stone_island,polished_concrete,1,13.4,14.4,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712303368,56 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,57.1,semi_detached,2,3,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,18,premium_stone_island,laminate,15,13.4,14.4,0.0,0.0,9.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712283220,59 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,89.7,separate_house,3,1,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,14,standard_laminate,timber_floorboards,24,13.4,14.4,0.0,0.0,11.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712272301,63 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,57.1,semi_detached,2,1,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,14,premium_stone_island,polished_concrete,19,13.4,14.4,0.0,0.0,9.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW713130813,66 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,114.7,separate_house,3,3,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,11,stone_benchtop,timber_floorboards,34,13.4,14.4,0.0,0.0,12.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266097,7 CARSON STREET,GOONELLABAH,2480,-28.81990891,153.34625348,163.76699829101562,,115.4,separate_house,4,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,15,stone_benchtop,tile,6,13.4,14.4,0.0,0.0,12.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW720168273,UNIT 41 61 CANIABA STREET,SOUTH LISMORE,2480,-28.80648658,153.25691366,11.017000198364258,,90.5,separate_house,3,1,0,0.0,short_stumps,0.5,circuit_breaker_basic,10,basic_laminate,carpet,74,13.4,14.4,2.883,2.883,91.33,2.0,2036.41,9810.26,5658.61,3566.31,1824.04,4342.82,4629.68,2992.33,3667.67,38528.13,3.2,250,16,266,1.4,True,19151.43,30626.9,49778.33
GNAF-GANSW705219414,83 HIGH STREET,LISMORE HEIGHTS,2480,-28.80274998,153.29295869,88.84600067138672,,84.3,separate_house,2,1,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,10,standard_laminate,timber_floorboards,38,13.4,14.4,0.0,0.0,11.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705229525,6 BEARDOW STREET,LISMORE HEIGHTS,2480,-28.80336768,153.29368471,82.94999694824219,,152.4,separate_house,5,0,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,9,standard_laminate,timber_floorboards,52,13.4,14.4,0.0,0.0,14.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705222683,10 KAREELA AVENUE,LISMORE HEIGHTS,2480,-28.79931557,153.29959528,80.98600006103516,,117.8,separate_house,4,3,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,16,standard_laminate,timber_floorboards,7,13.4,14.4,0.0,0.0,13.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705228433,3 O'FLYNN STREET,LISMORE HEIGHTS,2480,-28.80330648,153.29590798,97.06999969482422,,89.8,separate_house,3,1,0,0.5830388692579506,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,133,13.4,14.4,0.0,0.0,11.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225333,18 MACKAY STREET,LISMORE HEIGHTS,2480,-28.80204565,153.29750481,88.64299774169922,,133.6,separate_house,4,3,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,17,stone_benchtop,tile,6,13.4,14.4,0.0,0.0,13.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705244798,9 SUZETTE STREET,LISMORE HEIGHTS,2480,-28.80148789,153.29784277,81.01200103759766,,111.5,separate_house,3,2,0,0.5830388692579506,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,79,13.4,14.4,0.0,0.0,12.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705222691,19 KAREELA AVENUE,LISMORE HEIGHTS,2480,-28.79862682,153.30010435,72.10299682617188,,132.9,separate_house,4,1,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,13,basic_laminate,carpet,70,13.4,14.4,0.0,0.0,13.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705245456,16 WOODLAND AVENUE,LISMORE HEIGHTS,2480,-28.8055547,153.30427379,87.38600158691406,,82.3,separate_house,3,3,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_basic,8,standard_laminate,timber_floorboards,67,13.4,14.4,0.0,0.0,10.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705232036,3 SUZETTE STREET,LISMORE HEIGHTS,2480,-28.80205824,153.29773305,88.95800018310547,,71.8,semi_detached,3,1,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,22,stone_benchtop,laminate,2,13.4,14.4,0.0,0.0,10.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225313,8 KAREELA AVENUE,LISMORE HEIGHTS,2480,-28.79950684,153.29960582,81.5270004272461,,114.4,separate_house,3,2,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,12,standard_laminate,timber_floorboards,19,13.4,14.4,0.0,0.0,12.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705244775,5 BELLEVUE AVENUE,LISMORE HEIGHTS,2480,-28.80083302,153.29909517,90.8740005493164,,40.0,flat_or_apartment,1,1,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_basic,9,stone_benchtop,laminate,34,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705226265,4 BEARDOW STREET,LISMORE HEIGHTS,2480,-28.8033421,153.29347659,82.3479995727539,,82.5,separate_house,3,2,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,10,basic_laminate,carpet,56,13.4,14.4,0.0,0.0,10.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705222704,6 KYLIE AVENUE,LISMORE HEIGHTS,2480,-28.79955687,153.30045792,68.66600036621094,,95.8,separate_house,3,1,1,0.5830388692579506,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,135,13.4,14.4,0.0,0.0,11.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705248084,26 WOODLAND AVENUE,LISMORE HEIGHTS,2480,-28.80476708,153.30514274,75.572998046875,,107.5,separate_house,4,1,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_basic,8,standard_laminate,timber_floorboards,69,13.4,14.4,0.0,0.0,12.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705230888,15 DELORAINE ROAD,LISMORE HEIGHTS,2480,-28.80678033,153.30239276,115.12000274658203,,88.3,separate_house,2,1,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,6,basic_laminate,carpet,108,13.4,14.4,0.0,0.0,11.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705216772,258 HIGH STREET,LISMORE HEIGHTS,2480,-28.8098758,153.30431894,134.1790008544922,,74.0,separate_house,3,3,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,12,standard_laminate,timber_floorboards,26,13.4,14.4,0.0,0.0,10.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705237053,15 ROBROWN DRIVE,LISMORE HEIGHTS,2480,-28.79960463,153.29841959,77.24400329589844,,67.7,semi_detached,2,1,0,0.5830388692579506,high_stumps,1.5,ceramic_fuse,10,stone_benchtop,tile,39,13.4,14.4,0.0,0.0,9.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225331,16 MACKAY STREET,LISMORE HEIGHTS,2480,-28.80197715,153.29734507,88.15699768066406,,96.0,separate_house,3,2,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,6,standard_laminate,timber_floorboards,94,13.4,14.4,0.0,0.0,11.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225352,13 MILTON STREET,LISMORE HEIGHTS,2480,-28.80736644,153.30008623,124.17400360107422,,146.7,separate_house,4,1,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,16,standard_laminate,timber_floorboards,8,13.4,14.4,0.0,0.0,14.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225327,26 BEARDOW STREET,LISMORE HEIGHTS,2480,-28.80361833,153.29522984,88.66400146484375,,68.9,semi_detached,2,2,0,0.5830388692579506,high_stumps,1.5,circuit_breaker_rcd,13,stone_benchtop,tile,29,13.4,14.4,0.0,0.0,9.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705244800,9 VALLEY VIEW DRIVE,LISMORE HEIGHTS,2480,-28.7986516,153.30028647,69.4020004272461,,114.8,separate_house,5,1,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,10,standard_laminate,timber_floorboards,49,13.4,14.4,0.0,0.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705232151,14 SELENA AVENUE,LISMORE HEIGHTS,2480,-28.79891012,153.29831818,71.11199951171875,,105.4,separate_house,3,3,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_rcd,13,standard_laminate,timber_floorboards,22,13.4,14.4,0.0,0.0,12.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225335,20 MACKAY STREET,LISMORE HEIGHTS,2480,-28.80225862,153.29770078,93.06500244140625,,95.7,separate_house,3,1,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,7,standard_laminate,timber_floorboards,110,13.4,14.4,0.0,0.0,11.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW712266595,20 DEEGAN DRIVE,GOONELLABAH,2480,-28.81395999,153.320128,171.67599487304688,,57.7,semi_detached,2,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,14,premium_stone_island,polished_concrete,19,13.4,14.4,0.0,0.0,9.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705248102,7 WOODLAND AVENUE,LISMORE HEIGHTS,2480,-28.80634462,153.30378367,100.6989974975586,,57.7,separate_house,3,1,0,0.5830388692579506,slab_on_ground,0.15,ceramic_fuse,7,basic_laminate,carpet,137,13.4,14.4,0.0,0.0,9.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280484,23 BALLINA ROAD,EAST LISMORE,2480,-28.81476749,153.28329803,10.050000190734863,,81.2,separate_house,3,1,0,0.38869257950530034,high_stumps,1.5,ceramic_fuse,6,standard_laminate,timber_floorboards,124,13.4,14.4,2.85,2.85,86.51,2.0,1370.44,9360.21,12398.98,5399.16,1271.24,4061.13,4224.63,3583.7,4045.93,45715.41,5.22,159,16,175,1.4,True,28657.26,35251.95,63909.21
GNAF-GANSW706520819,269 HIGH STREET,LISMORE,2480,-28.80993718,153.30341776,132.54299926757812,,79.3,semi_detached,2,2,0,0.15901060070671377,short_stumps,0.5,circuit_breaker_rcd,18,standard_laminate,timber_floorboards,15,13.4,14.4,0.0,0.0,10.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705229516,3 NORTH PLACE,LISMORE,2480,-28.81191145,153.28851152,10.46399974822998,,125.1,separate_house,4,1,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,10,basic_laminate,vinyl,45,13.4,14.4,3.786,3.786,107.37,2.0,2625.78,15524.99,7320.57,3891.45,2290.8,4104.09,4989.13,2958.4,6673.56,50378.77,8.81,124,18,142,1.4,True,47360.55,30955.83,78316.38
GNAF-GANSW705219374,183 MAGELLAN STREET,LISMORE,2480,-28.81264171,153.28244753,9.687999725341797,,73.9,separate_house,2,1,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,6,basic_laminate,carpet,111,13.4,14.4,4.212,4.212,82.53,2.0,1340.48,8606.85,5398.35,3184.18,1085.16,3556.05,3826.86,2157.32,2981.96,32137.22,8.77,83,16,99,1.4,True,21146.06,24728.06,45874.12
GNAF-GANSW705219428,26 RURAL STREET,LISMORE,2480,-28.80936653,153.27899624,9.302000045776367,"[[153.2786082, -28.809135700000002], [153.2785501, -28.809210999999994], [153.2791159, -28.809505000000005], [153.2791637, -28.8094308], [153.27897960000004, -28.809331199999992], [153.2786082, -28.809135700000002]]",125.4,separate_house,3,0,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,9,basic_laminate,vinyl,74,13.4,14.4,4.598,4.598,107.5,2.0,1338.11,12650.97,5630.37,3673.77,1412.1,4344.67,5371.56,3251.91,5676.1,43349.56,1.94,138,19,157,1.4,True,33890.93,25072.33,58963.26
GNAF-GANSW705238137,65 DONNANS ROAD,LISMORE HEIGHTS,2480,-28.7999257,153.29574577,72.8010025024414,,51.4,semi_detached,2,1,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_basic,13,stone_benchtop,tile,30,13.4,14.4,0.0,0.0,8.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705248072,4 DELORAINE ROAD,LISMORE HEIGHTS,2480,-28.80763224,153.30401466,97.98400115966797,,147.8,separate_house,4,2,0,0.5830388692579506,slab_on_ground,0.15,circuit_breaker_rcd,12,standard_laminate,vinyl,40,13.4,14.4,0.0,0.0,14.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705228449,47 O'FLYNN STREET,LISMORE HEIGHTS,2480,-28.80588015,153.29758005,87.34500122070312,,88.3,separate_house,3,1,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,6,standard_laminate,timber_floorboards,153,13.4,14.4,0.0,0.0,11.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225319,94 BEARDOW STREET W,LISMORE HEIGHTS,2480,-28.80310939,153.29314963,85.74400329589844,,77.7,separate_house,3,1,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,6,standard_laminate,timber_floorboards,110,13.4,14.4,0.0,0.0,10.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW705225350,11 MILTON STREET,LISMORE HEIGHTS,2480,-28.80754682,153.30007823,120.66899871826172,,102.1,separate_house,3,1,0,0.5830388692579506,short_stumps,0.5,circuit_breaker_basic,11,stone_benchtop,tile,33,13.4,14.4,0.0,0.0,12.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
